COMPANY;MES;ANO;DATA_PARCELA_1;PARCELA1;DATA_PARCELA_2;PARCELA_2;DATA_PARCELA_3;PARCELA_3
587aaac9eb899ca0f9f757f1f1250096afb88fa96934fc7e2be14790f2a3a1c8;5;2019;15/06/19;0;25/06/19;337641,5325;05/07/19;0
ae610f52f0590cbb6677b030fe70405ee7aa96e97d61d79e32122fa90d797ab1;5;2019;15/06/19;0;25/06/19;673933,3875;05/07/19;0
bea410d04f41874bdd9a20431b1ac7f0596f1521ea27ae828f75fe13d157b417;5;2019;15/06/19;83436,7725;25/06/19;83436,7725;05/07/19;83436,765
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;5;2019;15/06/19;0;25/06/19;1212,5175;05/07/19;0
49f572f108a923aa49fa5dd4d69bbb55a393f5299b7292c47be56b9d64206660;5;2019;15/06/19;0;25/06/19;75985,62;05/07/19;0
a88f77fbb1b9bc0c9f4c8a2d650e240c818fba02c7cf37151af6b594c7b519a3;5;2019;15/06/19;0;25/06/19;71812,305;05/07/19;0
22d9d5cffc8a719720bdb1842a4a625e22539fb14e09b719c49bda55a9c4bbd7;5;2019;15/06/19;0;25/06/19;67509,3675;05/07/19;0
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;5;2019;15/06/19;0;25/06/19;12889,935;05/07/19;0
4f3127408ba23b9ad93d27baa364e51c116045a811ac96d75769dcd8f6b8d8c6;5;2019;15/06/19;0;25/06/19;3909046,1925;05/07/19;0
7ae353f62c16f0ef9ad0b65bb6aa031fa27fbbc32d317a4adc137fbc691cf87e;5;2019;15/06/19;0;25/06/19;1376747,985;05/07/19;0
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;5;2019;15/06/19;0;25/06/19;62567,55;05/07/19;0
37d7ae4a3b2162d3e7b1fd9a5deb39eaf6b0094e10dd367a15d34961f49f10e0;5;2019;15/06/19;8912,0025;25/06/19;8912,0025;05/07/19;8912,0025
840d538ab83b956c5e0a417004e0763c26f737d6cce03e00dae6ba6f4eb6ea61;5;2019;15/06/19;46341,57;25/06/19;46341,57;05/07/19;46341,5775
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;5;2019;15/06/19;0;25/06/19;4099,5375;05/07/19;0
c487b40198cff7144798ee944048134f16709935dea124b2b28ed244cb568bcf;5;2019;15/06/19;0;25/06/19;17596,0875;05/07/19;0
a3a8e7c4aae18f94595e1063a890f1067373ec9588d892ea1948fb943e1ea041;5;2019;15/06/19;0;25/06/19;391139,6925;05/07/19;0
